,0,1
0,지원자격,지원자격
1,토익점수,어학기준
2,입금,지급방법
3,신청방법,신청방법
4,봉사시간,지원자격
5,복학생,지원자격
6,편입생,지원자격
7,신청,신청방법
8,휴학하면,지원자격
9,학점기준,지원자격
10,성적 안정권,지원자격
11,수강포기하면,지원자격
12,교수님 추천서,지원자격
13,선발기준,지원자격
14,성적기준,지원자격
15,피에프 포함 학점,지원자격
16,들어야하는 학점,지원자격
17,평균 학점,지원자격
18,F가 있으면,지원자격
19,지급방법,지급방법
20,중복지급,지급방법
21,휴학하면 불이익,불이익
22,자퇴하면 불이익,불이익
23,장학혜택(금액),지급방법
24,제출서류,어학기준
25,토익 300점대,어학기준
26,토익 400점대,선발기준
27,토익 500점대,어학기준
28,토익 600점대,어학기준
29,토익 700점대,어학기준
30,토익 800점대,어학기준
31,토익 대신jpt나 jlpt,어학기준
32,중복지급,지급방법
33,재수강 포함,지원자격
34,야간학생,지원자격
35,공익토익점수,지원자격
36,모의토익도,지원자격
37,신입생인데,지원자격
38,모의토익,지원자격
39,휴학,지원자격
40,받고,지원자격
41,통장바로,지급방법
42,장학이력,지원자격
43,추가지급,지급방법
44,15학점,지원자격
45,14학점,지원자격
46,12학점,지원자격
