,0,1,2
0,2차 국가장학금,국가장학금,
1,ck-1 장학금,Kstar장학금,
2,compass k 장학금,Kstar장학금,
3,compassk 장학금,Kstar장학금,
4,face 장학금,face장학금,
5,FISEP 장학생,fisep장학금,
6,FTA 사업단 장학금,fta장학금,
7,fta 장학금,fta장학금,
8,fta 특성화 사업 장학금,fta장학금,
9,k star,Kstar장학금,
10,KStar,kstar장학금,
11,k-star,Kstar장학금,
12,k-star A단계 장학금,Kstar장학금,A단계장학금
13,K-STAR 장학,Kstar장학금,
14,KSTAR 장학금,Kstar장학금,
15,k-star 장학금,Kstar장학금,
16,k스타 장학금,Kstar장학금,
17,LINC 장학금,LINC장학금,
18,linc 장학금,LINC장학금,
19,Linc+ 장학금,LINC장학금,
20,RIC 장학금,RIC장학금,
21,ric 장학금,RIC장학금,
22,겅적장학금,성적장학금,
23,계대 다자녀 장학금,계명다자녀장학금,
24,계명 행복 기초,저소득층자녀장학금,
25,계명 행복 장학금,저소득층자녀장학금,
26,계명대 사랑장학금,성적사랑장학금,
27,계명대 정의 장학금,성적정의장학금,
28,계명대 정의장학금,성적정의장학금,
29,계명대 진리장학금,성적진리장학금,
30,계명복지 장학금,계명복지장학금,
31,계명성취장학,특별외국어성적장학금,
32,계명참스승장학금,계명참스승장학금,
33,계명행복,저소득층자녀장학금,
34,계명행복 장학금,저소득층자녀장학금,
35,계명행복기초,저소득층자녀장학금,
36,계명행복기초 장학금,저소득층자녀장학금,
37,계명행복우수장학금,저소득층자녀장학금,
38,계명행복장학 (차상위),저소득층자녀장학금,
39,계명행복장학,저소득층자녀장학금,
40,계명행복장학금,저소득층자녀장학금,
41,계명행복장학금 기초,저소득층자녀장학금,
42,고졸 후학습자 장학금(희망사다리 2유형),희망사다리,
43,공인영어성적향상 장학금,특별외국어성적장학금,
44,공인토익 장학금,특별외국어성적장학금,
45,공인토익성적향상격려장학금,특별외국어성적장학금,
46,공인토익장학금,특별외국어성적장학금,
47,교내 근로 장학금,교내근로장학금,
48,교내 장학금,교내장학금,
49,교내성적장학금,학기 성적우수  장학금,
50,교외국가근로 장학금,교외장학금,
51,교외근로 장학금,교외장학금,
52,교외장학금,교외장학금,
53,교직원 자녀 학비전액장학금,계명복지장학금,
54,교직원자녀 장학금,계명복지장학금,
55,국가 장학금,국가장학금,
56,국가고시 장학금,국가고시장학금,
57,국가교내근로,교내근로장학금,
58,국가근로장학금,교내근로장학금,
59,국가우수장학금 (이공계),국가우수장학금,
60,국가우수장학금,국가우수장학금,
61,국가장학금 (1유형),국가장학금,
62,국가장학금 (2유형),국가장학금,
63,국가장학금,국가장학금,
64,국가장학금 1유형,국가장학금1유형,
65,국가장학금 2유형,국가장학금2유형,
66,국가장학금 2차,국가장학금,
67,국가장학금 인문장학,국가장학금,
68,국가장학금(2유형),국가장학금2유형,
69,국가장학금(2유형코로나19),국가장학금2유형,
70,국가장학금1유형,국가장학금1유형,
71,국가장학금2유형,국가장학금2유형,
72,국가지원금,국가지원금,
73,국장,국가장학금,
74,국장 1차,국가장학금,
75,국장 2차,국가장학금,
76,국장1유형,국가장학금(1유형),
77,국장1차,국가장학금,
78,국장2유형,국가장학금,
79,국장2차,국가장학금(2유형),
80,근로 장학금,근로장학금,
81,근로장학금,근로장학금,
82,기초생활 장학금,저소득층자녀장학금,
83,기탁장학금,교외장학금,
84,농업인 자녀 장학금,농업인자녀장학금,
85,다자녀 장학금,다자녀장학금,
86,다자녀국가장학금,다자녀 장학금,
87,다자녀장학금,다자녀 장학금,
88,대청교,대학생청소년교육지원장학금,
89,대학생청소년교육지원장학금,대학생청소년교육지원장학금,
90,덕운장학금,덕운장학금,
91,링크 우수 장학금,LINC장학금,
92,링크 우수장학금,LINC장학금,
93,링크 장학금,LINC장학금,
94,링크 플러스 우수장학,LINC장학금,
95,링크사업단 장학금,LINC장학금,
96,링크성적장학금,LINC장학금,
97,링크우수장학금,LINC장학금,
98,링크장학금,LINC장학금,
99,링크플러스 장학금,LINC장학금,
100,멘토링 장학금,멘토링 장학금,
101,면학,면학장학금,
102,면학사랑,면학장학금,
103,면학장려,면학장학금,
104,면학장려장학금,면학장학금,
105,면학장학금,면학장학금,
106,명예 장학금,명예장학금,
107,명예장학 ,명예장학금,
108,목사자녀 장학금,목사자녀장학금,
109,목회자 자녀장학금,목사자녀장학금,
110,목회자자녀장학금,목사자녀장학금,
111,반액,?,
112,반액 장학금,?,
113,보훈 장학금,보훈장학금,
114,복수외국어성적장학금,특별외국어성적장학금,
115,봉사 장학금,봉사장학금,
116,북한이탈주민,북한이탈주민,
117,비사우수,비사장학금,
118,비사장학,비사장학금,
119,비사장학금,비사장학금,
120,사랑,사랑나눔장학금,
121,사랑(1년) 장학금,사랑나눔장학금,
122,사랑나눔장학금 A,사랑나눔장학금,
123,성적 우수 장학금,학기성적우수장학금,
124,성적 장학,학기성적우수장학금,
125,성적 장학금,학기성적우수장학금,
126,성적 장학금(진리/정의/사랑),학기성적우수장학금,
127,성적 정의,학기성적우수장학금,
128,성적 정의 장학금,학기성적우수장학금,
129,성적 진리 장학금,학기성적우수장학금,
130,성적사랑,학기성적우수장학금,
131,성적사랑 장학금,학기성적우수장학금,
132,성적사랑장학금,학기성적우수장학금,
133,성적장학,학기성적우수장학금,
134,성적장학금,학기성적우수장학금,
135,성적정의,학기성적우수장학금,
136,성적진리,학기성적우수장학금,
137,신입 특별A,신입특별장학,
138,신입 특별B,신입특별장학,
139,신입생 계명행복 장학금,신입특별장학,
140,신입생 장학금 사랑,신입특별장학,
141,신입특별 B 장학금,신입특별장학,
142,신입특별B 장학금,신입특별장학,
143,신입특별장학,신입특별장학,
144,어학 특별장학금,특별외국어성적장학금,
145,어학교육장학,특별외국어성적장학금,
146,영어성적 장학금,특별외국어성적장학금,
147,예술체육 장학금,예술체육장학금,
148,예술체육비전장학금,예술체육장학금,
149,외국어 성적 향상 장학금,특별외국어성적장학금,
150,외국어 장학금,특별외국어성적장학금,
151,외부장학금,교외장학금,
152,인문100년 장학금,인문100년 장학금,
153,인성교육 장학금,인성교육 장학금,
154,입학 장학금,입학장학금,
155,입학감축장학금,입학감축장학금,
156,입학금 감축 장학금,입학감축장학금,
157,입학금감축,입학감축장학금,
158,입학금감축대응지원금,입학감축장학금,
159,입학성적우수장학,입학장학금,
160,입학장학금,입학장학금,
161,자기주도인재,자기주도인재,
162,저소득층 자녀 장학금,저소득층자녀장학금,
163,저소득층 자녀 장학금(계명행복기초),저소득층자녀장학금,
164,전액 성적 장학금,학기성적우수장학금,
165,전액 장학금,?,
166,전액장학금,?,
167,전장,?,
168,정의,?,
169,정의 장학금,?,
170,중소기업취업연계장학금,중소기업취업연계장학금,
171,중소기업 희망사다리 장학금,중소기업취업연계장학금,
172,지역(지방)인재장학금,지연인재 장학금,
173,지역선도 장학금,지역선도 장학금,
174,지역인재,지역선도 장학금,
175,지역인재 장학금,지연인재 장학금,
176,지역인재장학금,지연인재 장학금,
177,지연인재 장학금,지연인재 장학금,
178,진리,교내장학금,
179,진리장학금,교내장학금,
180,차상위계층 장학 ,차상위계층 장학 ,
181,참스승 장학금,참스승 장학금,
182,참스승 장학금,참스승 장학금,
183,채장,채플장학금,
184,채플 장학,채플장학금,
185,채플 장학금,채플장학금,
186,채플 장학생,채플장학금,
187,채플장학금,채플장학금,
188,청소년교육지원장학금,청소년교육지원장학금,
189,총장,총장특별장학금,
190,총장 성적우수 장학금,총장특별장학금,
191,총장 장학금,총장특별장학금,
192,총장 특별 (성적 우수) 장학금,총장특별장학금,
193,총장 특별 머시기 장학금,총장특별장학금,
194,총장 특별 성적 우수 장학금,총장특별장학금,
195,총장 특별 성적 장학금,총장특별장학금,
196,총장 특별 장학금,총장특별장학금,
197,총장장학금,총장특별장학금,
198,총장장학금 학업우수,총장특별장학금,
199,총장특별,총장특별장학금,
200,총장특별 장학금,총장특별장학금,
201,총장특별(성적우수) 장학금,총장특별장학금,
202,총장특별(학업우수) 장학금,총장특별장학금,
203,총장특별(학업장려)장학금,총장특별장학금,
204,총장특별성적우수,총장특별장학금,
205,총장특별장학금,총장특별장학금,
206,총장특병 성적우수 장학금,총장특별장학금,
207,총학장학금,총장특별장학금,
208,캠퍼스 케이,Kstar장학금,
209,컴케,Kstar장학금,
210,컴케 star 장학금,Kstar장학금,
211,컴케 장학금,Kstar장학금,
212,컴케장학금,Kstar장학금,
213,컴케장학금 T,Kstar장학금,
214,컴퍼스 K 장학금,Kstar장학금,
215,컴퍼스 케이 케이스타 장학금,Kstar장학금,
216,컴퍼스케이 장학금,Kstar장학금,
217,케이 컴퍼스,Kstar장학금,
218,케이스타,Kstar장학금,
219,케이스타 T장학금,Kstar장학금,
220,케이스타 장학금,Kstar장학금,
221,케이스타장학금,Kstar장학금,
222,케이컴퍼스,Kstar장학금,
223,켈리 지쿠 장학금,켈리지쿠장학금,
224,코로나 관련 장학금,코로나특별장학금,
225,코로나 극복 장학금,코로나특별장학금,
226,코로나 특별장학금,코로나특별장학금,
227,코로나3차 장학금,코로나특별장학금,
228,코로나장학금,코로나특별장학금,
229,콤파스k,Kstar장학금,
230,콤파스케이,Kstar장학금,
231,토익,특별외국어성적장학금,
232,토익 성적 올리면 장학금,특별외국어성적장학금,
233,토익 성적 향상 장학금,특별외국어성적장학금,
234,토익 성적향상 장학금,특별외국어성적장학금,
235,토익 장학금,특별외국어성적장학금,
236,토익 향상 장학금,특별외국어성적장학금,
237,토익 향상장학금,특별외국어성적장학금,
238,토익성적 향상 장학금,특별외국어성적장학금,
239,토익성적향상장학,특별외국어성적장학금,
240,토익안보고 성적만보는 장학금,?,
241,토익으로 장학금,특별외국어성적장학금,
242,토익장학금,특별외국어성적장학금,
243,토익향상,특별외국어성적장학금,
244,토익향상 장학금,특별외국어성적장학금,
245,토익향상장학금,특별외국어성적장학금,
246,특기 장학금,특기장학금,
247,특기비사 우수,특기장학금,
248,특기비사 최우수,특기장학금,
249,특기사랑,특기장학금,
250,특기정의,특기장학금,
251,특별 장학금,특기장학금,
252,특별 복수외국어장학금,특별외국어성적장학금,
253,특별와국어장학금,특별외국어성적장학금,
254,특별외국어 성적장학금 (계명성취장학),특별외국어성적장학금,
255,특별외국어성적장학금,특별외국어성적장학금,
256,특성화 장학금,특성화장학금,
257,특성화고교졸 재직자정의,특성화장학금,
258,특성화장학금,특성화장학금,
259,포항 지진장학금,포항지진장학금,
260,푸른등대 ,푸른등대 ,
261,푸른등대 기부장학생,푸른등대 ,
262,푸른등대 장학금,푸른등대 ,
263,푸른등대 주거지원형 장학금,푸른등대 ,
264,푸른등대 코로나 긴급지원 장학금,푸른등대 ,
265,하계방학 현장실습 장학금,현장실습장학금,
266,학기 성적우수 장학금,학기성적우수장학금,
267,학기성적우수장학,학기성적우수장학금,
268,학업우수,학기성적우수장학금,
269,학업우수 장학금,학기성적우수장학금,
270,학업우수 총장특별,학기성적우수장학금,
271,학장 추천 장학,학장추천장학,
272,학장 특별장학금,학장추천장학,
273,학장장학금,학장추천장학,
274,행복 우수 장학금,저소득층자녀장학금,
275,행복 장학금,저소득층자녀장학금,
276,행복어쩌구장학금,저소득층자녀장학금,
277,행복우수,저소득층자녀장학금,
278,행복우수 장학금,저소득층자녀장학금,
279,행복우수장학금,저소득층자녀장학금,
280,행복장학금,저소득층자녀장학금,
281,향복우수 장학금,저소득층자녀장학금,
282,향토잔학금,향토잔학금,
283,현장실습장학금,현장실습장학금,
284,형제장학금,형제장학금,
285,후생복지 장학금,후생복지장학금,
286,후생복지장학금,후생복지장학금,
287,희망사다리 1유형,희망사다리1유형,
288,희망사다리 2유형,희망사다리2유형,
289,국가고시장학금,국가고시장학금,
290,특기장학금,특기장학금,
291,보훈장학금,보훈장학금,
292,사랑나눔장학금B,사랑나눔장학금,
293,사랑나눔장학금A,사랑나눔장학금,
294,장애학생도우미장학금,장애학생도우미장학금,
