,0,1,2
0,title,button_name,button_url
1,,장학금,scholarship
2,장학금,교내장학금,inside
3,장학금,교외장학금,outside
4,교내장학금,신입생장학금,new
5,교내장학금,재학생장학금,enrolled
6,교외장학금,월곡주얼리장학생,test
7,재학생장학금,명예장학,honer
8,재학생장학금,비사장학금,bisa
9,재학생장학금,학기성적우수장학금,score
10,재학생장학금,면학장학금,study
11,재학생장학금,저소득층자녀장학금,low-income
12,저소득층자녀장학금,계명행복기초장학금,happy_basic
13,저소득층자녀장학금,계명행복우수장학금,happy_exam
14,재학생장학금,특기장학금,talent
15,재학생장학금,보훈장학금,veteran
16,재학생장학금,계명복지장학금,welfare
17,재학생장학금,봉사장학금,service
18,재학생장학금,교내근로장학금,work
19,재학생장학금,채플장학금,chapel
20,재학생장학금,국가고시장학금,national_exam
21,재학생장학금,목사자녀장학금,pastor
22,재학생장학금,다자녀장학금,many_children
23,재학생장학금,특별외국어성적장학금,foreign_lang_score
24,재학생장학금,총장특별장학금,president
25,재학생장학금,사랑나눔장학금,disability
26,재학생장학금,장애학생도우미장학금,disabled_student_helper
27,재학생장학금,국가장학금,nation
28,국가장학금,국가장학금1유형,1
29,국가장학금,국가장학금2유형,2
30,월곡주얼리장학생,,https://www.kmu.ac.kr/uni/main/page.jsp?pageNo=1&pagePrvNxt=1&pageRef=207111&pageOrder=0&cmd=2&parm_bod_uid=207111&srchVoteType=-1&srchKeyword=%EC%9B%94%EA%B3%A1&srchEnable=1&srchBgpUid=-1&srchSDate=&srchColumn=bod_title&srchEDate=&mnu_uid=145&
31,명예장학,,
32,비사장학금,,
33,학기성적우수장학금,,
34,면학장학금,,
35,계명행복기초장학금,,
36,계명행복우수장학금,,
37,특기장학금,,
38,보훈장학금,,
39,계명복지장학금,,
40,봉사장학금,,
41,교내근로장학금,,
42,채플장학금,,
43,국가고시장학금,,
44,목사자녀장학금,,
45,다자녀장학금,,
46,특별외국어성적장학금,,
47,총장특별장학금,,
48,사랑나눔장학금,,
49,장애학생도우미장학금,,
50,국가장학금1유형,,
51,국가장학금2유형,,
