,title,document,url
0,장학금,장학금 안내입니다. 원하는 내용을 선택해주세요.,http://127.0.0.1/scholarship/
1,교내장학금,교내장학금 안내입니다. 원하는 내용을 선택해주세요.,http://127.0.0.1/scholarship/inside/
2,교외장학금,교외장학금 안내입니다. 원하는 내용을 선택해주세요.,http://127.0.0.1/scholarship/outside/
3,월곡주얼리장학생,월곡주얼리장학생 안내입니다. 원하는 내용을 선택해주세요.,http://127.0.0.1/scholarship/outside/test/
4,신입생장학금,신입생장학금 안내입니다. 원하는 내용을 선택해주세요.,http://127.0.0.1/scholarship/inside/new/
5,재학생장학금,재학생장학금 안내입니다. 원하는 내용을 선택해주세요.,http://127.0.0.1/scholarship/inside/enrolled/
6,명예장학,명예장학 안내입니다. 원하는 내용을 선택해주세요.,http://127.0.0.1/scholarship/inside/enrolled/honer/
7,명예장학 선발기준,각종 장학금의 선발대상이 되나 가계가 곤란한 학생에게 양보한 자,http://127.0.0.1/scholarship/inside/enrolled/honer/requirement/
8,명예장학 장학혜택,장학증서,http://127.0.0.1/scholarship/inside/enrolled/honer/advantage/
9,비사장학금,비사장학금 안내입니다. 원하는 내용을 선택해주세요.,http://127.0.0.1/scholarship/inside/enrolled/bisa/
10,비사장학금 선발기준,"신입학(약대 포함) 시 입학성적으로 선발함  - 장학자격 유지기준: 직전학기에 과목실격(F) 없이 15학점 이상 취득하고 평균평점이 3.50[비사스칼라(의학과는 3.50 또는 전공상위 20% 이내), 비사우수, 진리], 3.25(정의), 3.00(사랑)이상이 되어야 함(※세부내용 장학규정 시행세칙 참조)※ 재학 중 장학자격 유지기준 2회 미달 시 해당 장학은 영구상실됨※ 약학대학은 비사장학에 비사스칼라, 비사우수, 진리, 정의만 있음※ EMU, FISEP은 별도의 자격유지기준이 있으므로 담당부서에 확인해야 함",http://127.0.0.1/scholarship/inside/enrolled/bisa/requirement/
11,비사장학금 장학혜택,입학연도별 신입생 모집요강 참조,http://127.0.0.1/scholarship/inside/enrolled/bisa/advantage/
12,학기성적우수장학금,학기성적우수장학금 안내입니다. 원하는 내용을 선택해주세요.,http://127.0.0.1/scholarship/inside/enrolled/score/
